date,close,volume,open,high,low
10/07/2019,33.79,60388440,33.56,34.03,33.36
09/07/2019,33.15,61419770,31.76,33.18,31.71
08/07/2019,32.04,49689400,31.8,32.15,31.26
05/07/2019,31.5,34011870,30.88,31.56,30.75
03/07/2019,31.19,23462000,31.13,31.33,30.74
02/07/2019,31.24,37721680,30.96,31.26,30.73
01/07/2019,31.2,60525530,31.79,32.04,30.87
28/06/2019,30.37,50090930,31.08,31.11,30.33
27/06/2019,30.74,55623310,30.41,30.96,30.21
26/06/2019,29.92,65064200,29.98,30.48,29.78
25/06/2019,28.86,53680890,29.26,29.72,28.8
24/06/2019,29.26,55724830,29.32,29.4,28.67
21/06/2019,29.1,81861320,29.65,30.35,28.97
20/06/2019,30.01,72418160,31.24,31.36,29.84
19/06/2019,30.5,63233940,30.665,30.79,30.06
18/06/2019,30.45,86444540,29.76,30.97,29.58
17/06/2019,29.2,70865740,30.25,30.45,29.18
14/06/2019,30.36,70373020,30.7,30.96,30.02
13/06/2019,31.39,63555990,32.39,32.5,31.06
12/06/2019,32.18,56298670,32,32.57,31.92
11/06/2019,32.41,82834910,33.43,33.49,31.82
10/06/2019,33.23,97668790,33.53,34.3,33.08
07/06/2019,32.41,86841100,31.94,32.6,31.57
06/06/2019,31.82,131267800,29.87,31.98,29.84
05/06/2019,29.5,79481540,29.93,29.99,29.03
04/06/2019,29.57,107549500,28.39,29.59,27.91
03/06/2019,27.58,147532200,28.75,29.62,27.29
31/05/2019,27.41,68667810,27.57,28.36,27.4
30/05/2019,28.03,65289090,28.4,28.56,27.6
29/05/2019,28.09,99969600,29,29.32,27.73
28/05/2019,29.03,146949600,27.27,29.67,27.06
24/05/2019,26.44,39835790,26.61,26.925,26.4
23/05/2019,26.36,67809150,26.99,27.1,26.03
22/05/2019,27.41,40035290,27.12,27.59,27.07
21/05/2019,27.35,46079180,27.18,27.37,26.93
20/05/2019,26.68,69757400,26.98,27.24,26.49
17/05/2019,27.5,65385350,27.69,28.46,27.4
16/05/2019,28.01,67330060,27.37,28.37,27.2699
15/05/2019,27.58,55689870,26.87,27.79,26.73
14/05/2019,27.32,82980400,26.53,27.48,26.15
13/05/2019,26.24,99017890,26.98,27.23,26.1
10/05/2019,27.96,82930140,27.03,28.1,26.93
09/05/2019,27.21,73150880,26.7,27.38,26.03
08/05/2019,27.09,65967540,26.41,27.71,26.27
07/05/2019,26.66,75868820,27.2,27.35,26.21
06/05/2019,27.42,70344090,26.72,27.5,26.45
03/05/2019,28.22,55503060,28.3,28.4201,27.66
02/05/2019,28.29,100514800,26.94,28.64,26.61
01/05/2019,26.81,136066900,28.95,29.15,26.78
30/04/2019,27.63,68499770,27.59,27.8,26.94
29/04/2019,27.69,44265600,27.9,28.14,27.5
26/04/2019,27.88,48736860,27.66,27.9,27.05
25/04/2019,27.66,56709000,28.67,28.86,27.36
24/04/2019,28.46,51487330,28.1,28.85,27.93
23/04/2019,27.97,41583740,28.18,28.49,27.79
22/04/2019,28.18,36400850,27.62,28.23,27.39
18/04/2019,27.68,39814790,27.6,27.88,27.34
17/04/2019,27.49,48154690,28.21,28.27,27.22
16/04/2019,27.93,47212740,27.72,28.18,27.49
15/04/2019,27.33,40739300,27.8,27.84,26.96
12/04/2019,27.85,40957900,28.21,28.38,27.66
11/04/2019,27.79,44616360,27.81,28.05,27.46
10/04/2019,27.83,64160940,27.46,28.12,27.32
09/04/2019,27.24,75260050,28.24,28.38,27.19
