date,close,volume,open,high,low
10/07/2019,48.21,16032270,47.92,48.61,47.9
09/07/2019,47.75,17853190,47.36,47.8,47.13
08/07/2019,47.82,16564290,47.62,47.95,47.07
05/07/2019,48.08,14339230,48.03,48.175,47.44
03/07/2019,48.52,10739100,48.18,48.56,47.995
02/07/2019,48.12,15384690,47.91,48.22,47.69
01/07/2019,48.05,27505450,49.29,49.45,47.745
28/06/2019,47.87,26646180,47.77,48.2,47.68
27/06/2019,47.46,23062950,48.15,48.42,47.24
26/06/2019,48.19,21886310,47.65,48.48,47.56
25/06/2019,46.85,16665580,47.56,47.68,46.8
24/06/2019,47.63,14479940,47.4,47.8455,47.17
21/06/2019,47.46,31096250,46.95,47.73,46.8
20/06/2019,47.19,20126780,47.87,48.05,46.87
19/06/2019,47.07,17436380,47.48,47.58,47
18/06/2019,47.37,25732290,46.75,48,46.6
17/06/2019,46.13,12643340,46.14,46.53,45.8
14/06/2019,46.19,15381080,45.83,46.42,45.5459
13/06/2019,46.7,12267630,46.6,46.955,46.53
12/06/2019,46.32,15900570,46.67,46.67,46.25
11/06/2019,46.85,18415500,47.26,47.32,46.52
10/06/2019,46.8,20806080,46.23,47.19,46.2
07/06/2019,46.03,24370250,45.25,46.12,45.1
06/06/2019,45.1,19076170,44.75,45.17,44.505
05/06/2019,44.55,20802010,45.11,45.18,44.19
04/06/2019,44.79,28094920,44.16,44.855,43.77
03/06/2019,43.46,31155680,44.25,44.585,43.2
31/05/2019,44.04,25532530,44.18,44.79,43.93
30/05/2019,44.73,21618860,44.3,45.03,44.23
29/05/2019,44.23,28450340,43.35,44.53,43.3333
28/05/2019,43.57,34779860,44.66,44.69,43.3
24/05/2019,44.57,27168070,44.59,45.05,44.49
23/05/2019,44.53,35783930,43.37,44.74,42.86
22/05/2019,44,16932520,44.15,44.46,43.845
21/05/2019,44.46,25543370,44.34,44.78,44.175
20/05/2019,43.56,28674970,44,44.52,43.4538
17/05/2019,44.89,22500360,45.18,45.73,44.7637
16/05/2019,45.53,19954650,45.47,45.95,45.42
15/05/2019,45.62,23407890,44.92,45.75,44.76
14/05/2019,45.17,24706460,45.18,45.485,44.87
13/05/2019,44.76,39091930,45.33,45.64,44.7
